Modelos,K,T,L,tau,R2,IAE,ITAE,RMSE
AC: 1,1.3252823856010187,234.6413938458076,2.259187870128017,0.009536438677204176,0.9983209935420906,104.53736941409996,382169.68158289493,0.027413062405784873
AC: 2,1.3423788442777425,236.90058171559426,0.0,0.0,0.9993581757787952,127.62505038502228,220070.2367902341,0.027413062405784873
AC: 3,1.3381050333653302,236.90058171579534,0.0,0.0,0.9998294749050565,110.07108274763792,251847.05209512514,0.027413062405784873
AB: 1,1.3252823856010187,232.99081212987198,2.259187870128017,0.009603349075995821,0.998555437168031,106.92676072328344,370175.0414332516,0.028520470958043186
AB: 2,1.3423788442777425,235.25,0.0,0.0,0.9991649078357734,125.61429216545524,194988.56802667628,0.028520470958043186
AB: 3,1.3381050333653302,235.25,0.0,0.0,0.9997155904302155,106.02311894852778,217534.81477298753,0.028520470958043186
1 ordem,1.3352554210813636,236.14751909239908,0.7530626233760057,0.0031788128924035465,0.9999984057276275,18.281578036520497,50782.16760362976,0.003541427200324583
Rejeitado,1.3352554210813636,234.496937376624,0.7530626233760057,0.003201116358665274,0.9999938600493231,34.98268871504263,87478.77859813324,0.006949915107027003
2 ordem,1.3352554210813636,157.6121491439318,0.7530626233760057,0.00475522758421534,0.9854526319026771,1003.6140361967515,1883562.85242837,0.3382900876517717
